timestamp nodeid seqnumber itemperature ivoltage humidity temperature PAR TSR
1163703703640 11 8 22,44 2,64 48,22 23,69 1 1
1163703711640 8 9 20,79 3 50,24 23,4 2 2
1163703712593 13 8 21,72 3 52,04 22,12 3 3
1163703720109 6 9 18,32 3 53,35 23,15 2 2
1163703726781 14 8 17,59 2,67 55,23 21,93 3 2
1163703741421 15 8 18,73 3 56,55 20,82 107 134
1163703748156 16 8 22,03 2,64 52,78 21,33 100 123
1163703764812 18 8 22,65 3 50,04 25,34 5 8
1163703766375 17 8 23,68 3 45,48 25,64 1 1
1163703781734 19 8 22,55 3 47,41 25,02 77 110
1163703784906 20 8 24,51 3 48,87 25,22 105 121
1163703847140 3 9 19,25 3 56,85 23,09 21 25
1163703891046 1 9 16,67 3 59,17 22,48 10 11
1163703901250 7 10 17,9 3 52,8 23,28 3 4
1163703976453 12 9 24,51 2,64 49 23,7 1 0
1163703981312 10 9 21,72 2,67 50,09 23,99 1 1
1163703988031 9 9 22,44 2,66 50,67 23,29 0 1
1163703990171 5 10 25,02 2,99 50,07 23,05 9 10
1163704004828 11 9 22,44 2,64 48,41 23,67 1 1
1163704011656 8 10 20,9 3 50,21 23,42 2 2
1163704012609 13 9 21,72 3 52,76 22,08 3 2
1163704020140 6 10 18,42 3 53,44 23,13 2 2
1163704026812 14 9 17,59 2,67 56,11 21,84 2 3
1163704041453 15 9 19,14 3 56,79 21,43 99 117
1163704048187 16 9 22,13 2,64 53,52 21,68 93 127
1163704064828 18 9 22,86 3 49,08 25,34 9 9
1163704066390 17 9 23,68 3 45,52 25,64 1 1
1163704081750 19 9 22,86 3 47,11 25 128 157
1163704084937 20 9 24,51 3 48,87 25,24 155 161
1163704179859 2 10 22,96 3 56,53 22,81 8 9
1163704191062 1 10 16,67 3 59,14 22,49 9 10
1163704201265 7 11 18,01 3 52,86 23,25 3 3
1163704276484 12 10 24,51 2,64 49,06 23,69 1 0
1163704281343 10 10 21,72 2,67 50,16 24,01 1 1
1163704288046 9 10 22,13 2,66 50,67 23,29 1 0
1163704290187 5 11 25,02 2,99 50,01 23,07 10 10
1163704303687 11 10 22,44 2,64 48,42 23,7 1 1
1163704311687 8 11 20,9 3 50,27 23,39 2 2
1163704312640 13 10 22,03 3 52,65 22,18 3 2
1163704320171 6 11 18,32 3 53,49 23,09 2 2
1163704326843 14 10 17,9 2,67 56,06 21,92 2 2
1163704341468 15 10 19,55 3 55,11 21,96 99 116
1163704348203 16 10 22,44 2,63 52,6 22,04 90 111
1163704364875 18 10 22,86 3 50,14 25,37 4 5
1163704366421 17 10 23,68 3 45,61 25,58 1 1
1163704384968 19 10 22,86 3 48,32 25,01 126 134
1163704386281 20 10 24,2 3 49,35 25,2 141 183
1163704447656 3 11 19,25 3 56,91 23,06 21 25
1163704479875 2 11 22,96 3 56,62 22,8 8 10
1163704491093 1 11 16,67 3 59,17 22,48 9 11
1163704501296 7 12 18,01 3 52,83 23,28 3 4
1163704576515 12 11 24,61 2,64 49,22 23,67 1 0
1163704581359 10 11 21,72 2,67 50,29 24 1 1
1163704588078 9 11 22,44 2,66 50,67 23,29 0 1
1163704590218 5 12 25,02 2,99 50,07 23,05 8 9
1163704603718 11 11 22,55 2,64 48,54 23,66 1 1
1163704611718 8 12 20,9 3 50,3 23,37 2 2
1163704612671 13 11 21,72 3 51,91 22,07 2 3
1163704620203 6 12 18,42 3 53,52 23,08 2 2
1163704626859 14 11 17,8 2,67 55,2 21,9 2 2
1163704641500 15 11 18,42 3 57,06 20,59 95 119
1163704648234 16 11 21,62 2,63 53,46 21,02 97 119
1163704664890 18 11 22,55 3 48,13 25,34 8 4
1163704666453 17 11 23,68 3 45,64 25,59 1 1
1163704681812 19 11 22,86 3 47,41 25,01 77 106
1163704684984 20 11 24,51 3 48,73 25,2 99 142
1163704747218 3 12 19,35 3 56,85 23,1 22 25
1163704779906 2 12 22,86 3 56,61 22,74 9 9
1163704791125 1 12 16,67 3 59,2 22,5 10 11
1163704801328 7 13 18,01 3 52,88 23,23 4 3
1163704876531 12 12 24,51 2,64 49,25 23,69 1 1
1163704881406 10 12 21,72 2,67 50,38 23,98 2 1
1163704888109 9 12 22,13 2,66 50,8 23,28 0 1
1163704890250 5 13 25,02 2,98 50,1 23,05 10 10
1163704903750 11 12 22,44 2,63 48,61 23,7 1 1
1163704911734 8 13 20,9 3 50,36 23,35 2 2
1163704912687 13 12 21,72 3 52,92 22,1 2 3
1163704920218 6 13 18,42 3 53,5 23,1 2 2
1163704926890 14 12 17,59 2,67 56,39 21,83 2 3
1163704941531 15 12 19,14 3 56,79 21,45 106 136
1163704948265 16 12 22,13 2,63 53,65 21,7 88 121
1163704964906 18 12 22,86 3 48,88 25,3 4 7
1163704966484 17 12 23,68 3 45,71 25,57 1 1
1163704985015 19 12 22,55 3 47,18 24,97 128 149
1163704986328 20 12 24,2 3 48,89 25,17 147 146
1163705047234 3 13 19,25 3 56,97 23,09 19 24
1163705079937 2 13 22,96 3 56,32 22,85 9 11
1163705091140 1 13 16,67 3 59,06 22,58 10 11
1163705101343 7 14 18,01 3 52,95 23,22 3 3
1163705176562 12 13 24,51 2,64 49,44 23,64 0 1
1163705181421 10 13 21,72 2,66 50,51 23,96 1 1
1163705188140 9 13 22,44 2,66 50,81 23,32 1 0
1163705190265 5 14 25,02 2,98 50,13 23,02 9 9
1163705203765 11 13 22,44 2,63 48,77 23,69 1 1
1163705211765 8 14 20,79 3 50,36 23,36 2 2
1163705212718 13 13 21,72 3 52,77 22,18 3 3
1163705220250 6 14 18,32 3 53,49 23,09 1 2
1163705226921 14 13 17,8 2,67 56,18 21,88 2 3
1163705241546 15 13 19,55 3 55,35 21,92 109 133
1163705248296 16 13 22,44 2,63 52,9 21,98 101 127
1163705264937 18 13 22,55 3 48,67 25,25 8 7
1163705266515 17 13 23,78 3 45,83 25,52 1 1
1163705281859 19 13 22,55 3 47,34 25 102 151
1163705285046 20 13 24,2 3 49,12 25,18 157 182
1163705347265 3 14 19,25 3 57,03 23,05 21 26
1163705379968 2 14 22,96 3 56,44 22,81 8 9
1163705391171 1 14 16,77 3 59,17 22,52 10 11
1163705401375 7 15 17,9 3 53,01 23,2 4 4
1163705476593 12 14 24,51 2,64 49,51 23,67 1 1
1163705481453 10 14 21,72 2,66 50,51 24 1 1
1163705488156 9 14 22,44 2,66 50,93 23,26 1 1
1163705490296 5 15 25,02 2,98 50,16 23,02 9 10
1163705503796 11 14 22,55 2,63 48,74 23,72 1 1
1163705511796 8 15 20,79 3 50,4 23,36 2 1
1163705512750 13 14 21,72 3 52,2 22,1 2 3
1163705520265 6 15 18,32 3 53,55 23,07 2 2
1163705526937 14 14 17,9 2,67 55,4 21,84 2 3
1163705541578 15 14 18,73 3 56,67 20,84 103 122
